numero,rcs,nop,dl,mc
1,2070,33,143,0
2,881,1,69,0
3,251,33,88,0
4,178,33,418,0
5,541,33,255,0
6,216,33,88,0
7,1162,33,184,0
8,415,33,224,0
9,180,1,110,0
10,387,1,256,0
11,382,33,48,0
12,136,33,148,0
13,940,33,260,0
14,491,33,129,0
15,659,33,181,0
16,325,33,221,0
17,568,33,238,0
18,177,1,114,0
19,93,1,223,0
20,2027,33,279,0
21,505,1,222,0
22,638,33,67,0
23,724,1,226,0
24,167,1,117,0
25,198,1,,0
26,144,1,248,0
28,366,1,47,0
29,478,33,229,0
30,107,33,112,0
31,306,33,120,0
32,165,1,101,0
33,1295,1,323,0
34,175,1,260,0
35,807,33,151,0
36,421,33,204,0
37,490,33,501,0
38,257,1,121,0
39,170,33,238,0
40,857,33,293,0
41,730,33,165,0
42,484,33,544,0
43,1443,1,301,0
44,896,33,557,0
45,481,33,205,0
1,,33,268,1
2,577,5,179,0
3,7437,2,221,0
4,632,4,124,0
5,110,4,53,0
6,1556,5,76,0
7,33,3,95,0
8,108,4,71,0
9,7791,5,141,0
10,742,1,63,0
11,345,2,232,0
12,869,4,133,0
13,2823,4,95,0
14,5255,5,79,0
15,4051,4,159,0
16,136,3,115,0
17,38,,,0
18,375,4,208,0
19,687,5,198,0
20,1001,2,227,0
21,452,4,204,0
22,25,1,20,0
23,517,5,158,0
24,144,4,97,0
25,3427,2,232,0
26,88,3,11,0
27,19,1,37,0
29,3886,5,13,0
30,529,3,170,0
31,62,2,118,0
32,2920,3,61,0
33,1465,4,265,0
34,,3,20,1
35,252,3,19,0
36,77,1,13,0
37,679,5,190,0
38,357,4,184,0
39,463,4,96,0
40,896,5,24,0
41,1332,4,240,0
42,220,4,37,0
43,5025,3,111,0
44,139,3,103,0
50,,,,1
1,486,1,188,0
2,63,1,76,0
3,30,1,73,0
5,1190,2,272,0
6,1021,2,206,0
7,912,2,125,0
8,103,1,238,0
9,2997,1,314,0
10,160,2,191,0
11,135,1,150,0
12,75,1,193,0
13,24,1,45,0
14,2008,2,33,0
15,7133,3,55,0
16,530,2,235,0
17,7866,2,240,0
19,1601,1,202,0
20,283,,,0
21,204,1,169,0
22,486,1,66,0
23,1242,2,57,0
24,58,1,78,0
25,7296,2,69,0
26,748,1,140,0
27,7755,2,114,0
28,,2,159,1
29,375,,,0
30,693,2,91,0
31,357,2,234,0
32,731,,,0
33,,2,183,1
35,2357,2,120,0
36,298,2,243,0
37,775,3,60,0
38,517,1,75,0
39,4888,2,260,0
18,,2,269,1
34,,3,11,1
1,4940,,,0
2,844,33,290,0
3,1909,33,93,0
4,559,33,100,0
5,720,33,287,0
6,707,33,184,0
7,1664,33,123,0
8,351,,,0
9,343,33,106,0
10,444,33,70,0
11,102,33,109,0
12,,,,1
13,1105,33,180,0
14,231,,,0
15,213,33,354,0
16,317,33,171,0
17,2060,33,277,0
18,814,33,55,0
19,1383,33,19,0
20,207,33,189,0
21,1348,1,68,0
22,137,33,125,0
23,4762,33,196,0
24,97,1,39,0
25,397,1,187,0
26,60,1,63,0
27,384,33,54,0
28,581,33,26,0
29,641,33,176,0
30,150,33,187,0
31,141,33,169,0
32,3587,33,26,0
33,364,1,100,0
34,198,33,27,0
35,,,,1
36,1134,3,31,0
37,717,1,243,0
38,128,33,84,0
39,2596,33,117,0
40,167,1,39,0
41,,33,54,1
42,34,1,58,0
43,1655,1,16,0
44,1774,1,63,0
45,107,1,36,0
46,728,1,30,0
